no;Lat;Lon;Fare;Time;CabID
310;37.77693;-122.39525;0;1211051931;30788
311;37.77694;-122.39516;0;1211051988;30788
312;37.77698;-122.39525;0;1211052046;30788
313;37.77698;-122.39524;0;1211052106;30788
314;37.77697;-122.39523;1;1211052142;30788
315;37.77697;-122.39521;0;1211052152;30788
316;37.77696;-122.3952;0;1211052157;30788
317;37.77653;-122.39575;0;1211052218;30788
318;37.77756;-122.39997;0;1211052278;30788
319;37.78006;-122.40312;0;1211052338;30788
320;37.78126;-122.40462;0;1211052374;30788
321;37.7827;-122.40615;0;1211052439;30788
322;37.78339;-122.40735;0;1211052494;30788
323;37.78392;-122.40818;0;1211052559;30788
324;37.78422;-122.40821;1;1211052607;30788
325;37.78442;-122.40837;1;1211052669;30788
326;37.78524;-122.40992;1;1211052727;30788
327;37.78493;-122.41255;1;1211052787;30788
328;37.78448;-122.4158;1;1211052847;30788
329;37.78407;-122.41894;1;1211052907;30788
330;37.7838;-122.42074;1;1211052973;30788
331;37.784;-122.42275;1;1211053028;30788
332;37.78547;-122.42446;1;1211053089;30788
333;37.78501;-122.42864;1;1211053149;30788
334;37.78501;-122.42864;1;1211053164;30788
335;37.78482;-122.43022;1;1211053210;30788
336;37.78482;-122.43022;0;1211053218;30788
337;37.78546;-122.4348;0;1211053311;30788
338;37.78709;-122.43312;0;1211053371;30788
339;37.78805;-122.42548;0;1211053431;30788
340;37.7887;-122.42372;0;1211053502;30788
341;37.78846;-122.4235;0;1211053521;30788
342;37.7887;-122.42352;0;1211053587;30788
343;37.78915;-122.4238;0;1211053641;30788
344;37.78911;-122.42419;1;1211053682;30788
345;37.78718;-122.4251;1;1211053736;30788
346;37.78393;-122.42437;1;1211053796;30788
347;37.7826;-122.42288;1;1211053856;30788
348;37.78252;-122.42086;1;1211053916;30788
349;37.78187;-122.4213;1;1211053976;30788
350;37.78165;-122.42125;0;1211053998;30788
351;37.78198;-122.42241;0;1211054058;30788
352;37.78324;-122.42256;0;1211054118;30788
353;37.78466;-122.42283;0;1211054178;30788
354;37.78527;-122.42805;0;1211054261;30788
355;37.78644;-122.42286;0;1211054321;30788
356;37.78813;-122.42193;0;1211054381;30788
357;37.78807;-122.42199;0;1211054403;30788
358;37.78861;-122.42202;0;1211054464;30788
359;37.78618;-122.42178;0;1211054525;30788
360;37.78576;-122.42156;0;1211054586;30788
361;37.78651;-122.4218;0;1211054647;30788
362;37.78639;-122.42155;0;1211054712;30788
363;37.78619;-122.42176;0;1211054781;30788
364;37.78616;-122.42172;1;1211054814;30788
365;37.78553;-122.42295;1;1211054874;30788
366;37.78631;-122.42321;1;1211054934;30788
367;37.78742;-122.42359;1;1211054970;30788
368;37.7888;-122.42367;1;1211055022;30788
369;37.79192;-122.42424;1;1211055074;30788
370;37.79352;-122.42462;1;1211055134;30788
371;37.79663;-122.42408;1;1211055194;30788
372;37.79683;-122.42218;1;1211055256;30788
373;37.79744;-122.41038;1;1211055376;30788
374;37.79816;-122.40452;1;1211055436;30788
375;37.79852;-122.40225;1;1211055496;30788
376;37.80306;-122.40316;1;1211055571;30788
377;37.80533;-122.40358;1;1211055617;30788
378;37.80627;-122.40472;1;1211055677;30788
379;37.80635;-122.40478;1;1211055735;30788
380;37.80679;-122.40576;0;1211055737;30788
381;37.80682;-122.40583;1;1211055742;30788
382;37.80723;-122.4068;1;1211055800;30788
383;37.80795;-122.40861;1;1211055860;30788
384;37.80828;-122.41003;1;1211055901;30788
385;37.80828;-122.41004;0;1211055902;30788
386;37.80851;-122.41224;0;1211055962;30788
387;37.80763;-122.41255;0;1211056037;30788
388;37.80778;-122.41243;0;1211056083;30788
389;37.80685;-122.41219;0;1211056149;30788
390;37.80468;-122.4133;0;1211056202;30788
391;37.80565;-122.41401;0;1211056262;30788
392;37.80514;-122.41749;0;1211056327;30788
393;37.80488;-122.41941;0;1211056383;30788
394;37.80457;-122.42178;0;1211056443;30788
395;37.8042;-122.4242;0;1211056503;30788
396;37.80395;-122.42668;0;1211056563;30788
397;37.80132;-122.42629;0;1211056629;30788
398;37.80049;-122.42777;0;1211056688;30788
399;37.79923;-122.42741;0;1211056744;30788
400;37.79816;-122.42728;0;1211056780;30788
401;37.79629;-122.42683;0;1211056843;30788
402;37.79489;-122.42953;0;1211056906;30788
403;37.79433;-122.43445;0;1211056961;30788
404;37.79257;-122.43632;0;1211057022;30788
405;37.78973;-122.43577;0;1211057083;30788
406;37.78954;-122.43576;1;1211057102;30788
407;37.78793;-122.4354;1;1211057163;30788
408;37.78692;-122.4352;1;1211057222;30788
409;37.78726;-122.43168;1;1211057282;30788
410;37.78804;-122.42549;1;1211057351;30788
411;37.78683;-122.42496;1;1211057420;30788
412;37.78264;-122.42418;1;1211057463;30788
413;37.78289;-122.42119;1;1211057522;30788
414;37.78307;-122.41967;1;1211057591;30788
415;37.78347;-122.41642;1;1211057642;30788
416;37.7836;-122.41445;1;1211057703;30788
417;37.78433;-122.4088;1;1211057763;30788
418;37.78267;-122.40698;1;1211057823;30788
419;37.78029;-122.40352;1;1211057883;30788
420;37.78178;-122.40145;1;1211057944;30788
421;37.78045;-122.39924;1;1211058004;30788
422;37.77786;-122.396;1;1211058073;30788
423;37.77703;-122.39476;1;1211058127;30788
424;37.777;-122.39479;1;1211058188;30788
425;37.77697;-122.39477;0;1211058193;30788
426;37.7755;-122.39712;0;1211058254;30788
427;37.77736;-122.39966;0;1211058313;30788
428;37.77938;-122.40224;0;1211058373;30788
429;37.78075;-122.40398;0;1211058433;30788
430;37.78265;-122.40629;0;1211058495;30788
431;37.78316;-122.40544;1;1211058531;30788
432;37.78512;-122.40423;1;1211058592;30788
433;37.7865;-122.40288;1;1211058660;30788
434;37.78718;-122.40363;1;1211058712;30788
435;37.79121;-122.40077;1;1211058833;30788
436;37.79644;-122.40138;1;1211058894;30788
437;37.79706;-122.39847;1;1211058954;30788
438;37.79708;-122.39846;1;1211058994;30788
439;37.79711;-122.39846;1;1211059060;30788
440;37.79711;-122.39846;0;1211059081;30788
441;37.79701;-122.39842;0;1211059125;30788
442;37.79903;-122.39851;0;1211059870;30788
443;37.79885;-122.39867;0;1211059930;30788
444;37.7983;-122.4037;0;1211059990;30788
445;37.79797;-122.40641;0;1211060039;30788
446;37.79767;-122.40885;0;1211060099;30788
447;37.79768;-122.40886;1;1211060120;30788
448;37.79611;-122.4198;1;1211060180;30788
449;37.79595;-122.42189;1;1211060239;30788
450;37.79538;-122.42349;1;1211060301;30788
451;37.79221;-122.423;1;1211060360;30788
